paper no.;author;year;scale name;general notes ;clear construct definition;relevance of construct (to motivation review);paradigm fit;enough information?;include/exclude;scale in another original paper;instrument focused 1(y)/0(n);note: focus if not instrumental;external validity (y/n);which external validity;Test theory;note 1: validity;No of categories;variance in score y/n/nr;ceiling/floor effect;internal consistency y/n;internal consistency measure;internal consistency score;inter-rater reliability y/n;inter-rater reliability score;note2: reliabilty;crucial skill;disadvantaged population;note3: fairness;Duration;estimate y/n;No. items;expansion/reduction possible;note4: efficiency;age group mean;age group range;grade;ages applied;country of study;population (typical/what disorder);Particular sample (e.g. non-native, underprivileged);sample size;note5: sample;IQ y/n;SES y/n;personality measure y/n;musical training y/n;home environment y/n2;note6: control variables;Hearing Acuity;volume;Timbre/Instrument;Analysis;Discrimination / Recognition;Association;Recall / Production;Performance;Sensorimotor synchronization;meter;beat;tempo;Analysis5;Discrimination / Recognition6;Association7;Recall/ Production;Performance8;Key/Absolute Pitch;mode;Analysis9;Discrimination/Recognition;Association10;Recall / Production11;Performance12;Analysis13;Discrimination/recognition14;Association15;Recall/ Production16;Performance17;Improvisation;composition;Singing ;Dance;interest;internal motivation;external motivation;note names;basic music categories;form perception;aesthetics/ aesthetical evaluation;function/target audience;emotion/mood;single tones;intervals;chords;phrases;harmonic sequence;full songs;individual or group testing;potential for group testing;evaluation notes;study design notes;questionnaire/interview;self-report;parent report;teacher-report;available for research use (y/n/unsure);all necessary items and instructions for testing available in paper or online (y/n);coder;missing tags;newly added?;;;;;;;;;;;;;;;
1455b;"Politimou, N.; Stewart, L.; Müllensiefen, D. & Franco, F.";2018;Music @ Home: Preschool;Child active engagement with music subscale;1;1;1;1;4;;0;includes singing, listening to recorded music, playing with musical toys, watching music videos on a TV/tablet, dancing to music and engaging in music activities with another person, as well as playing instruments;y;factorial validity (CFA) & other measures: Gold-MSI subscales MT and AE, items from the parents music activities subscale of the CMBI (Valerio et al. 2003);n;convergent validity with the  parent's musical activities subscale of the CMBI  (r=.37) and the AE subscale of the goldMSI (r= .17) plus factorial validity from CFA;7-point agreement scale;nr;n;y;alpha, omega, G6,  test-retest;a=.765, ω=.781,G6= .746,retest= .68;n;NA;lots of reliabiliity measures included;;;;2m;y;4;n;factorial structure validated using CFA;3.34y;2 to 5y ;preschool/kindergarten;2, 3, 4, 5;;TD;;213;sample taken from study 2 as the validity and reliability stats also come from this study;n;y;n;y;y;"assessing home environment was the key focus of the measure; parents level of MT and SES  was assessed";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;0;;;;;;;;;;;;;group;y;;parent questionnaire;1;;1;;y;y: items listed in S5 table;CM;;1;;;;;;;;;;;;;;;
1455f;"Politimou, N.; Stewart, L.; Müllensiefen, D. & Franco, F.";2018;Music @ Home: Infant;Child active engagement with music subscale;1;1;1;1;4;;0;includes singing, listening to recorded music, playing with musical toys, watching music videos on a TV/tablet, dancing to music and engaging in music activities with another person, as well as playing instruments;y;factorial validity (CFA) & other measures: Gold-MSI subscales MT and AE, items from the parents music activities subscale of the CMBI (Valerio et al. 2003);n;convergent validity with the parent's musical activities subscale of the CMBI  (r=.32)  plus factorial validity from CFA;7-point agreement scale;nr;n;y;alpha, omega, G6,  test-retest;a=.835, ω=.842, G6=.832, retest=.67;n;NA;lots of reliabiliity measures included;;;;3m;y;6;n;factorial structure validated using CFA;12.81m;0-1y;NA;0, 1;;TD;;213;sample taken from study 2 as the validity and reliability stats also come from this study;n;y;n;y;y;"assessing home environment was the key focus of the measure; parents level of MT and SES  was assessed";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;0;;;;;;;;;;;;;group;y;;parent questionnaire;1;;1;;y;y: items listed in S6 table;CM;;1;;;;;;;;;;;;;;;
435a;"Qi, W.; Dong, X. & Xue, X.";2021;Piano learning questionniare;Attitudes towards music learning;1;1;1;1;4;;1;;y;predictive: measure piano learning attitudes pre and post intervention in intervention vs control groups;Pygmalion effect': when a person recieves encouragement praise and expectations from others, he feels that he has received social support and is self-confidence is enhanced;greater positive change demonstrated in attitude towards piano learning pre- post in intervention group vs control;5-point agreement scale;nr;nr;y;cronbach's alpha for full measure;a>.8 (full measure);n;nr;KMO also reported: .85;language skills and instrument learners;no access to instrument teaching;;6m;y;;n;estimated 8 items based on 1 of 5 parts with 40 items in total;;6 to 11;grades 2, 4 and 6;7,8,9,10,11,12;China;TD;;124;children taking piano lessons;n;n;n;n;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;0;;;;;;;;;;;;;group;y;;child questionnaire;1;1;;;n;n;CM;;;;;;;;;;;;;;;;;
435b;"Qi, W.; Dong, X. & Xue, X.";2021;Piano learning questionniare;Psychological level (includes concepts of self-efficacy, self-concept and self-esteem);1;1;1;1;4;;1;;y;other measures: enthusiasm for piano learning;Pygmalion effect': when a person recieves encouragement praise and expectations from others, he feels that he has received social support and is self-confidence is enhanced;increased self-efficacy shown to positively effect enthusiasm for piano learning;5-point agreement scale;nr;nr;y;cronbach's alpha for full measure;a>.8 (full measure);n;nr;KMO also reported: .85;language skills and instrument learners;no access to instrument teaching;;6m;y;;n;estimated 8 items based on 1 of 5 parts with 40 items in total;;6 to 11;grades 2, 4 and 6;7,8,9,10,11,12;China;TD;;124;children taking piano lessons;n;n;n;n;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;;;;;;;;;;;;;group;y;;child questionnaire;1;1;;;n;n;CM;;;;;;;;;;;;;;;;;
436a;"Ribeiro, F. S.; Braun J., T.; Passarini, L. & Vanzella, P.";2021;Music Engagement Questionnaire (MEQ);adapted from an adult scale developed by Vanstone et al., (2016) some information gathered from the Vanstone paper: caregiver-reported changes in children and child-caregiver musical behaviours;1;1;1;1;4;;0;singing, listening to music, dancing, playing with musical toys/instruments;y;changes to musical behaviour influed by: caregivers: involvement with arts activities, level of education, well-being and stress and childs disability status;n;;6-point likert scale to assess difference between pre-covid lockdown behaviour and lockdown behaviour (never had this habit-much more);nr;y: ceiling effects with some items, could include additional detail in the top end of the scale 'much more' or detail frequency of activity ;n;NA;NA;n;NA;if more than one caregiver, could have been useful to get ratings from both to check reliability;;;;15m;y;23;y;could reduce scale to include only items related to children's independent musical behaviours and not caregivers encouragement;4.32y (SD=1.3);3 to 6;Preschool or not in school;3,4,5,6;Brazil;TD, ASD or other developmental disability;families with children aged 3-6 during covid lockdown;188;;n;y;n;n;y;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;0;;;;;;;;;;;;;group;y;;parent questionnaire;1;;1;;unclear;y: in supplementary table doc table S4;CM;;;;;;;;;;;;;;;;;
394c;"Comeau, G.; Huta, V.; Liu, Y. F.";2015;Untitled;Parent involvement questionnaire;1;0;0;0;1->exclude;;;;;;nr;;;;;;;;;;;;;;;y;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
390;"Richmond, J.; McLachlan, N. M.; Ainley, M. & Osborne, M.";2016;Untitled;music training program: questionnaire related to interests and attitudes towards learning instruments as part of a weekly program.;1;1;1;1;4;;1;focus was on a music program involving composition with ensembles of percussion instruments;n;n;n;some evidence for *internal validity provided by expected improvements in self-efficacy and intrinsic motivation over the course of each session (measures taken at beginning middle and end);5- point likert (very much- a bit- not at all, represented by smiley faces);y: only represented graphically;y: ceiling effects revealed in graphs from figure 5;n;NA;NA;n;NA;;language skills;"young readers; dyslexia";smiley face response options and simple questions help limit disadvantage caused by language requirements;5m;y;6;y;could include further questions on motivation: only one item 'I would like to play with the instruments again' directly assesses internal motivation;;7 to 9;grade 3-4;7,8,9;Australia;TD and children with learning disabilities (no further detail);;31;;n;n;n;y;n;participants had not recived any musical education in previous years at school, fewer than 30% had received formal musical instrument training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;;;;;;;;;;;;;group;y;not all items relevant outside of intervention;child questionnaire;1;1;;;n;y: in paper appendix A;SH/CM;;;;;;;;;;;;;;;;;
400;Creech, A.;2010;;Pupil attitudes measured using an adapted version of the Music lesson satisfaction scale, and additional questions on 'enjoyment of music, satisfaction with lessons, self-esteem, motivation and attainment';1;1;1;0;3 -> exclude!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;SH;;;;;;;;;;;;;;;;;
426;"Rife, N. A.; Shnek, Z. M.; Lauby, J. L.; Lapidus, L. B.";2001;Music Lesson Satisfaction Scale (MLSS);questionnaire developed to assess childrens satisfaction with private music lessons: satisfaction operationally defined as 'liking' or 'disliking';1;1;1;1;4;;1;;y;r=.54, criterion validity: measured against overall rating of private music lessons out of 10;;measure developed as part of exploratory study, starting with open ended questions about what children liked and disliked about their music lessons;5-point agreement scale;y: M=4.1, SD=.51;y: ceiling;y;cronbach's alpha;a=0.94;n;NA;very high reliability score;instrument training; those who don’t have access to instrument learning;potential for adaptation to make more inclusive, for example item 'I like music lessons because I have a good time' could be 'I like making music because I have a good time'. ;25m;y;34;n;item set validated using factor analysis;10,7;9 to 12 y;3,4,5,6,7 & 8;9, 10, 11, 12;US;TD;receiving music lessons;568;;n;n;n;y;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;1;;;;;;;;;;;;;group;y;only includes items that are related to positive feelings about learning a musical instrument, as pointed out by Roden et al. (2021): paper 437;child questionnaire;1;1;;;unclear;y: in paper table 1;MH/CM;;;;;;;;;;;;;;;;;
437a;"Roden, I.; Friedrich, E. K.; Etzler, S.; Frankenberg, E.; Kreutz, G. & Bongard, S.";2021;Emotions while learning a musical instrument scale (ELIS);Positive Emotions while Learning an Instrument (PELI) subscale;1;1;1;1;4;;1;;y;significantly correlated with subscales of other measures: shortened versions of the 'Questionnaire for measurement of stress and coping in children and adolescenets' (SSKJ 3-8) and 'positive and negative affect schedule' (PANAS) scales, specifically: social support (r=.21-24), problem-oriented coping (r=.3-.31), musical emotion regulation (r=.42-.45);;;5-point likert (not at all true-completely true);y: M= 2-3.5, SD=.97-1.5;n;y;cronbach's alpha and test-retest;"a= .85; test retest at 6 months: .56; 12 months: .33, 18 months: .17";n;;test retest fairly strong considering long time span and young population;language skills;"young readers; dyslexia";to ease comprehension,response options were visualised using baloon options of increasing size;6m;y;8;n;factorial structure validated;M=8.53 (time point 1), M=9.18 (time point 2);6 to 11 years;grades 2-4;6,7,8,9,10,11,12;Germany;TD;60-70% attended a school programme enhancing musical or maths/science skills;352;N=352 completed the tasks at all three time points, sample started at N=544;n;n;n;y;y;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;1;;;;;;;;;;;;;group;y;;child questionnaire;1;1;;;y;y: all items before reduction in paper in english, see table 2 plus notes to indicate which are included in questionnaire, in german in attached document;CM;;;;;;;;;;;;;;;;;
45b;Costa-Giomi, E.;2004;Untitled;"teacher questionnaire: weekly progress reports completed by teachers concerning: number of lessons missed per year; total number of minutes practiced per year; average practice time per week; completion of piano homework";1;1;0;0;2->exclude;;;;;;nr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
392d;Denac, O.;2008;Untitled;teacher questionnaire: these questionnaires are focused on the teachers interest rather than the childrens;1;0;0;1;2->exclude;;;;;;nr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"recruited by sending a letter out to all preschools; potential bias of those who prioritise music?";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1455a;"Politimou, N.; Stewart, L.; Müllensiefen, D. & Franco, F.";2018;Music @ Home: Preschool;Parental beliefs;1;0;1;1;3-> exclude;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
437b;"Roden, I.; Friedrich, E. K.; Etzler, S.; Frankenberg, E.; Kreutz, G. & Bongard, S.";2021;Emotions while learning a musical instrument (ELIS);Negative Emotions while Learning an Instrument (NELI) subscale;1;1;1;1;4;;1;;y;significantly correlated with subscales of other measures: shortened versions of the 'Questionnaire for measurement of stress and coping in children and adolescenets' (SSKJ 3-8) and 'positive and negative affect schedule' (PANAS) scales, specifically: constructive palliative coping (r=.2), destructive anger-oriented coping (r=.34), use of media (r=.20) and psychological symptoms of stress (r=.23);;;5-point likert (not at all true-completely true);y: M=.37-1.09, SD=.93-1.42;n;y;cronbach's alpha and test-retest;"a=.78; test retest at 6 months: .42, at 12 months: .21, at 18 months= .11";n;;test retest fairly strong considering long time span and young population;language skills;"young readers; dyslexia";to ease comprehension,response options were visualised using baloon options of increasing size;5m;y;7;n;factorial structure validated;M=8.53 (time point 1), M=9.18 (time point 2);6 to 11 years;grades 2-4;6,7,8,9,10,11,12;Germany;TD;60-70% attended a school programme enhancing musical or maths/science skills;352;N=352 completed the tasks at all three time points, sample started at N=544;n;n;n;y;y;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;1;;;;;;;;;;;;;group;y;;child questionnaire;1;1;;;y;y: all items before reduction in paper in english, see table 2 plus notes to indicate which are included in questionnaire, in german in attached document;CM;;;;;;;;;;;;;;;;;
438a;Ruth, N. & Müllensiefen, D.;2021;Theory of Musicality (TOM) Questionnaire;"Entity subscale: Assesses pupil's attitudes towards the development of musical abilities, whether they believe music is unchangable and a gift; modelled after the CNNAQ-2 assessing self-theories in sports; ";1;1;1;1;4;;0;measures beliefs about musical ability (entity and incremental learning scales);y;measured against likelihood of dropping out of musical activities;Theory of Musicality (based on Gold-MSI paper);TOM entity subscale scores were a significant predictor of musical drop out: indicates that the more participants think of music as a 'gift', the more likely the are to drop out of musical activities;nr;nr;nr;n;NA;NA;n;NA;;language skills and introspection skills;young participants;;10m;y;12;n;factorial structure validated;;10 to 17;;10,11,12,13,14,15,16,17;UK and Germany;TD;;3303;;y;n;y;y;y;higher concientiousness contributed to same model as high scores in TOM: entity predicting drop out;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;;;;;;;;;;;;;group;y;no psychometrics reported;child questionnaire;1;1;;;unclear;n;CM;;;;;;;;;;;;;;;;;
438b;Ruth, N. & Müllensiefen, D.;2021;Theory of Musicality (TOM) Questionnaire: incremental subscale;"Incremental learning subscale: Assesses pupil's attitudes towards the development of musical abilities, to what degree they believe musical ability can be developed through learning; modelled after the CNNAQ-2 assessing self-theories in sports; Used as an additional measure and psychometrics not reported";1;1;1;1;4;;0;measures beliefs about musical ability (entity and incremental learning scales);n;NA;Theory of Musicality (based on Gold-MSI paper);The incremental learning subscale did not predict musical drop out;nr;nr;nr;n;NA;NA;n;NA;;language skills and introspection skills;young participants;;10m;y;12;n;factorial structure validated;;10 to 17;;10,11,12,13,14,15,16,17;UK and Germany;TD;;3303;;y;n;y;y;y;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;;;;;;;;;;;;;group;y;no psychometrics reported;child questionnaire;1;1;;;unclear;n;CM;;;;;;;;;;;;;;;;;
402a;"Simpkins, S. D.; Vest, A. E.; Becnel, J. N.";2010;Untitled;self-concept of ability' subscale : motivational beliefs measured as a predictor of participation in activity;1;1;1;1;4;;1;;y;other measures: measured self-concept as a predictor of continued participation in activities- significant mediation effect on participated vs never;Expectancy-Value model (Eccles) and Interest theory (Hidi & Renninger, 2006);predictive validity;7-point likert (not at all good-very good);y: M=4.3, SD=1.71;n;y;cronbach's alpha;a=.74 (wave 2), .94 (wave 5);n;NA;;instrument training; those who don’t have access to instrument learning;;3m;y;4;y;would recommend expansion to include items not specific to playing an instrument;8.72y;SD=1.25;kindergarten, 1, 3;;US;TD;largely middle class;567;longitudinal data so age groups changed over the study;n;y;n;n;n;parents provided income and highest level of education;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;;;;;;;;;;;;;group;y;;child questionnaire;1;1;;;unclear;y: in paper under measures: Self-concept of ability;CM;;;;;;;;;;;;;;;;;
402b;"Simpkins, S. D.; Vest, A. E.; Becnel, J. N.";2010;Untitled;interest subscale: motivational beliefs measured as a predictor of participation in activity. items same as those used in McPherson's 3 dimensions expectancy-value scale.;1;1;1;1;4;;1;;y;other measures: measured interest as a mediator of continued participation in activities…significant effect with interest as a mediator between overall participating vs never having participated ;Expectancy-Value model (Eccles) and Interest theory (Hidi & Renninger, 2006);predictive validity;7-point likert: 1 item interest (very boring-very interesting), 1 item liking (a little-a lot);y: M=4.56, SD=1.94;n;y;cronbach's alpha;a=.83 (wave 2), .95 (wave 5);n;NA;;instrument training; those who don’t have access to instrument learning;;1m;y;2;y;would recommend expansion to include items not specific to playing an instrument;8.72y;SD=1.25;kindergarten, 1, 3;;US;TD;;567;longitudinal data so age groups changed over the study;n;y;n;n;n;parents provided income and highest level of education;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;0;;;;;;;;;;;;;group;y;;child questionnaire;1;1;;;unclear;y: in paper under measures: interest;CM;;;;;;;;;;;;;;;;;
1445;MacKenzie, C. G.;1991;;qualitative measure of motivation: questionnaire asks children to pick the main reason why they started learning an instrument;1;1;0;1;3->exclude;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
439a;"Song, H. Q.; Barakova, E. I.; Markopoulos, P. & Ham, J.";2021;The FunQ questionnaire;autonomy subscale from the FunQ questionnaire  (originally developed to measure fun value of a learning activity with adolescents) applied to musical context:  used to measure children's feelings of autonomy  when learning music with a robot;1;1;1;1;4;;1;use of robot for teaching piano;y;other measures: 'persistence' was interpreted from observational video data as a behavioural measure of motivation;n;findings from behavioural measure confirmed findings using questionnaire;5 point likert;y: M=4.34-4.55, SD= .37-.77 across all subscales;y- ceiling:  average mean scoresacross all subscales  were >4 for 5 point scale;y;cronbach's alpha;a=0.65;n;NA;alpha for full questionnaire: .89;language skills;"young readers; dyslexia";;2m;y;3;n;subscale validated in another paper;;9 to 12;;9, 10, 11, 12;The Netherlands;TD;children taking piano lessons;31;sample split into beginners, developing and advanced;n;n;n;y;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;;;;;;;;;;;;;individual;y;;child questionnaire;1;1;;;unclear;n: items listed in table 2 of paper but item response options are not clear;CM;;;;;;;;;;;;;;;;;
439b;"Song, H. Q.; Barakova, E. I.; Markopoulos, P. & Ham, J.";2021;The FunQ questionnaire;delight subscale from the FunQ questionnaire (originally developed to measure fun value of a learning activity with adolescents) applied to musical context:  used to measure enjoyment of learning music with a robot;1;1;1;1;4;;1;use of robot for teaching piano;y;other measures: 'persistence' was interpreted from observational video data as a behavioural measure of motivation;n;findings from behavioural measure confirmed findings using questionnaire;5 point likert;y: M=4.34-4.55, SD= .37-.77 across all subscales;y- ceiling:  average mean scoresacross all subscales  were >4 for 5 point scale;y;cronbach's alpha;a=0.8;n;NA;alpha for full questionnaire: .89;language skills;"young readers; dyslexia";;2m;y;3;n;subscale validated in another paper;;9 to 12;;9, 10, 11, 12;The Netherlands;TD;children taking piano lessons;31;sample split into beginners, developing and advanced;n;n;n;y;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;0;;;;;;;;;;;;;individual;y;;child questionnaire;1;1;;;unclear;n: items listed in table 2 of paper but item response options are not clear;CM;;;;;;;;;;;;;;;;;
439c;"Song, H. Q.; Barakova, E. I.; Markopoulos, P. & Ham, J.";2021;The FunQ questionnaire;stress subscale from the FunQ questionnaire  (originally developed to measure fun value of a learning activity with adolescents) applied to musical context:  used to measure children's emotional responses to learning music with a robot;1;1;1;1;4;;1;use of robot for teaching piano;y;other measures: 'persistence' was interpreted from observational video data as a behavioural measure of motivation;n;findings from behavioural measure confirmed findings using questionnaire;5 point likert;y: M=4.34-4.55, SD= .37-.77 across all subscales;y- ceiling:  average mean scoresacross all subscales  were >4 for 5 point scale;y;cronbach's alpha;a=0.73;n;NA;alpha for full questionnaire: .89;language skills;"young readers; dyslexia";;2m;y;3;n;subscale validated in another paper;;9 to 12;;9, 10, 11, 12;The Netherlands;TD;children taking piano lessons;31;sample split into beginners, developing and advanced;n;n;n;y;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;;;;;;;;;;;;;individual;y;;child questionnaire;1;1;;;unclear;n: items listed in table 2 of paper but item response options are not clear;CM;;;;;;;;;;;;;;;;;
439d;"Song, H. Q.; Barakova, E. I.; Markopoulos, P. & Ham, J.";2021;The Situational Motivation Scale (SIMS);interest subscale: includes three questions from the SIMS ;1;1;1;1;4;;1;use of robot for teaching piano;y;other measures: 'persistence' was interpreted from observational video data as a behavioural measure of motivation;n;findings from behavioural measure confirmed findings using questionnaire;5 point likert;y: M=4.34-4.55, SD= .37-.77 across all subscales;y- ceiling:  average mean scoresacross all subscales  were >4 for 5 point scale;y;cronbach's alpha;a=0.77;n;NA;alpha for full questionnaire: .89;language skills;"young readers; dyslexia";language was simplified for questions adapted from the SIMS to make it easier to understand as it was originally developed for adults;2m;y;3;;could be expanded based on the larger set ofsimilar  items which can be found in some of  the questionnaires developed based on the expectancy-value model ;;9 to 12;;9, 10, 11, 12;The Netherlands;TD;children taking piano lessons;31;sample split into beginners, developing and advanced;n;n;n;y;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;0;;;;;;;;;;;;;individual;y;;child questionnaire;1;1;;;unclear;n: items listed in table 2 of paper but item response options are not clear;CM;;;;;;;;;;;;;;;;;
442a;Stramkale, L. & Timermane, L.;2020;Self-regulated learning questionnaire;self-report questionnaire which aimed to assess student's perspectives on their ability to set, monitor and assess learning outcomes during a music lesson;1;1;1;1;4;;0;focus on school music lessons;y;other measures: structured observation carried out by teachers according to same four criteria: motivation, setting learning outcomes, monitoring of learning and learning outcomes;nr;authors report that there were no significant differences between teacher ratings of SRL and student's self-assessments;4 point likert:  never-always;y: SD=.89 to .99;n;n;NA;NA;n;NA;comparing child and teacher responses on the same scale would have been beneficial;language skills  and introspection;"young readers; dyslexia";;5-10m;y;12;y;could be expanded to include items in the motivation category that teachers had to rate during observation;;;4th;;Latvia;TD;;86;recruited from one comprehensive school;n;n;n;n;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;1;;;;;;;;;;;;;group;y;;child questionnaire;1;1;;;n;n;CM;;;;;;;;;;;;;;;;;
1448;Roberts, C. J.;2015;;qualitative research: interviews with children;1;1;0;1;3->exclude;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CM;;;;;;;;;;;;;;;;;
442b;Stramkale, L. & Timermane, L.;2020;Self-regulated learning questionnaire;teacher questionnaire which aimed to assess student's motivation, ability to set, monitor and assess learning outcomes during a music lesson;1;1;1;1;4;;0;focus on school music lessons;y;other measures: child self-perceptions on latter 3 criteria;nr;authors report that there were no significant differences between teacher ratings of SRL and student's self-assessments;3 categories: low, medium, high;y: SD=.6-.7;n;n;NA;NA;n;NA;comparing child and teacher responses on the same scale would have been beneficial;;;;30m-1h;y;nr;n;length of music lesson in which teachers observed is unclear;;;4th;;Latvia;TD;;86;recruited from one comprehensive school;n;n;n;n;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;0;;;;;;;;;;;;;group;y;;teacher observation;1;;;1;n;n;CM;;;;;;;;;;;;;;;;;
436b;"Ribeiro, F. S.; Braun J., T.; Passarini, L. & Vanzella, P.";2021;Music @ Home: Preschool;see paper 1455b;1;1;1;1;4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1456a;"Valerio, W. G.; Reynolds, A. M.; Mordan, G. B. &McNair, A. A.";2012;The Children's Music-Related Behaviour Questionnaire (CMRBQ);Part 1: Child Music Behaviours;1;1;1;1;4;;0;attention to music, vocalisations, moving to music, song requests, music conversations, creativity;y;factorial validity (CFA) and parent involvement in activities;n;Iterative process based on parent's feedback to inform item curation;5- point frequency scale (never-frequently);"y; SD (.47-.81)";n;y;cronbach's alpha;a=.772 (attention & emotion), .834 (vocalisations), .865 (moving),  .909 (requests), .880 (taking turns), .894 (creativity);n;NA;alpha moderately high-high;;;;10m;;14;n;factorial structure validated;3.56 (SD=1.4);<5;;2,3,4,5;US;TD;Online sample;629;;n;y;n;n;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;0;;;;;;;;;;;;;group;y;interesting approach and seems to nicely reflect musical activities of early years children ;parent questionnaire;1;;1;;y;y: figure 1 in paper;CM;;1;;;;;;;;;;;;;;;
1456b;"Valerio, W. G.; Reynolds, A. M.; Mordan, G. B. and McNair, A. A.";2012;The Children's Music-Related Behaviour Questionnaire (CMRBQ);Part 2: Parent Music Activities;1;0;1;1;3->exclude;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;
410;Leung, B. W. & McPherson;2010;3 dimensions of motivation questionnaire;;1;1;1;1;4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
415;Juvonen, A.;2011;3 dimensions of motivation questionnaire;;1;1;1;1;4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
